id,name,name_en,name_yo,amenity,building,healthcare,healthcare_speciality,operator_type,capacity_persons,addr_full,addr_city,source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,adm4_pcode,adm4_name,name_latin,geometry_type,longitude,latitude
node/11891069740,Alaso Amikanle Primary Health Care Center,,,hospital,,,,public,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Alaso Amikanle Primary Health Care Center,Point,3.2446092,6.6503625
node/11925066636,Sholay Beauty World,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Sholay Beauty World,Point,3.2201421,6.5360594
node/11925076790,Marie Stopes Clinic General Medical Care And Laboratory,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Marie Stopes Clinic General Medical Care And Laboratory,Point,3.2236565,6.5405003
node/11925076794,Jubilee Health Center And Laboratory,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Jubilee Health Center And Laboratory,Point,3.2272104,6.5358509
node/11925066633,Adebek Maternity Home,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Adebek Maternity Home,Point,3.2163817,6.5258492
node/11925066634,Pakal Medical Centre,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Pakal Medical Centre,Point,3.2151418,6.5255295
node/11925066635,Hefamaa Laboratory,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Hefamaa Laboratory,Point,3.214319,6.5276866
node/11925076802,Atinuke Tr Clinic And Maternity Home,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Atinuke Tr Clinic And Maternity Home,Point,3.2189526,6.5471541
node/11925076801,Pelfik Clinic And Maternity Center,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Pelfik Clinic And Maternity Center,Point,3.2182176,6.5494684
node/11925076787,Vintage Hospital,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Vintage Hospital,Point,3.2265379,6.5518107
node/11925019773,Life Fount Medical Center,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Life Fount Medical Center,Point,3.2268745,6.5569562
node/11925076786,Winkoye Laboratory Service,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Winkoye Laboratory Service,Point,3.2217327,6.5526647
node/11925076800,Isuti Medical Centre,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Isuti Medical Centre,Point,3.2188976,6.551744
node/11924945907,Mount Moriah Hospital And Maternity,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025003,Alimosho,,,,,Mount Moriah Hospital And Maternity,Point,3.2245503,6.5626145
node/11890813755,Savelife Hospital Moshe,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Savelife Hospital Moshe,Point,3.1885584,6.5615953
node/11889743917,Ikogbo Primary Health Center,,,hospital,,,,public,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Ikogbo Primary Health Center,Point,3.1786939,6.5318571
node/11890813756,Odan Abuja Primary Health Center,,,hospital,,,,public,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Odan Abuja Primary Health Center,Point,3.1754203,6.5781878
node/11889743915,Igbesa Primary Health Center,,,hospital,,,,public,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Igbesa Primary Health Center,Point,3.1341237,6.5276893
node/11889755182,Falola Medical Clinic,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Falola Medical Clinic,Point,3.135505,6.5367869
node/11889755183,Olabaji Clinic,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Olabaji Clinic,Point,3.1293118,6.5406641
node/11889706146,Rock Of Ages Hospital,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Rock Of Ages Hospital,Point,3.0774298,6.5296453
node/11889356827,Medics Clinical Venture,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Medics Clinical Venture,Point,3.0790901,6.5610491
node/11889356826,Ojuoluwa Medical Centre,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Ojuoluwa Medical Centre,Point,3.0814022,6.5657894
node/11889378477,Saving Grace Hospital,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Saving Grace Hospital,Point,3.0805197,6.588285
node/11889356825,De Godswill Hospital,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,De Godswill Hospital,Point,3.0914457,6.5764238
node/11889356824,Blessed Trinity Hospital,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Blessed Trinity Hospital,Point,3.0935238,6.5772458
node/11889356823,Oluwalogbon Medical Centre,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Oluwalogbon Medical Centre,Point,3.0888936,6.5797385
node/11889378478,Ketu Health Centre,,,hospital,,,,public,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Ketu Health Centre,Point,3.0715866,6.5987137
node/11889669564,Egudu Health Center,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Egudu Health Center,Point,3.0427006,6.5521424
way/735122001,Badagry General Hospital,,,hospital,,hospital,,,,,,,NGA,Nigeria,NG025,Lagos,NG025006,Badagry,,,,,Badagry General Hospital,Polygon,2.8970127714285714,6.414869442857143
node/11887082163,Primary Health Building Dadiluwi Ilaje Riverine,,,hospital,,,,public,,,,,NGA,Nigeria,NG025,Lagos,NG025006,Badagry,,,,,Primary Health Building Dadiluwi Ilaje Riverine,Point,3.0292305,6.4042557
node/11888969820,Irewe Primary Care Health Center Osulu Kingdom,,,hospital,,hospital,,public,,,,,NGA,Nigeria,NG025,Lagos,NG025017,Ojo,,,,,Irewe Primary Care Health Center Osulu Kingdom,Point,3.1449088,6.4181773
node/11887087044,Taffi Awori Primary Health Centre,,,hospital,,hospital,,public,,,,,NGA,Nigeria,NG025,Lagos,NG025017,Ojo,,,,,Taffi Awori Primary Health Centre,Point,3.0736023,6.4078114
node/11887050498,Goodness Medical Center,,,hospital,,,,,,,,,NGA,Nigeria,NG025,Lagos,NG025017,Ojo,,,,,Goodness Medical Center,Point,3.1053704,6.4607312
node/11889706144,Rophe Clinic,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Rophe Clinic,Point,3.0885985,6.5061171
node/11889706145,Toluwalope Clinic and Maternity,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Toluwalope Clinic and Maternity,Point,3.0917206,6.511804
node/11889717159,Sefa Hospital Clinic And Maternity,,,hospital,,,,,,,,,NGA,Nigeria,NG028,Ogun,NG028003,Ado-Odo/Ota,,,,,Sefa Hospital Clinic And Maternity,Point,3.1009206,6.5039505
