nigeria_health_facilities
id,unique_id,state_unique_id,registration_no,start_date,close_date,facility_name,image_url,alt_facility_name,state_id,lga_id,ward_id,ownership_id,ownership_type_id,facility_level_id,facility_level_option_id,facility_level_options_category_id,physical_location,postal_address,longitude,latitude,phone_number,alternate_number,email_address,website,operational_days,operational_hours,operational_status_id,registration_status_id,license_status_id,outpatient,inpatient,doctors,pharmacists,dentist,pharmacy_technicians,nurses,lab_scientists,midwifes,lab_technicians,nurse_midwife,him_officers,community_health_officer,community_extension_workers,jun_community_extension_worker,dental_technicians,env_health_officers,attendants,beds,onsite_laboratory,onsite_imaging,onsite_pharmarcy,mortuary_services,ambulance_services,certificate_of_standard,status_id,created_by,created_at,updated_at,requested_by,requested_at,request_note,verified_by,verified_at,verify_note,validated_by,validated_at,validate_note,published_by,published_at,publish_note,facility_type_id,action,verified_id,verified_email,verified_mobile,validated_email,validated_mobile,published_email,published_mobile,state_name,lga_name,ward_name,facility_level_name,ownership_name,ownership_type,operational_status_name,registration_status_name,license_status_name,dhis2_synced
13424912,01/01/1/1/2/0020,AB/01/346,5138,,,God's Love Health Care and Maternity,[],,101,1001,10001,2,5,1,3,,6b Amucha Avenue Off 161 Faulks Road Ariaria Aba,,7.342461,5.114450,7038963966,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,9,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,1,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Primary,Private,For Profit,Functional,Registered,Licensed,0
58316806,01/01/1/2/2/0005,AB/01/331,,,,Goodness and Mercy Christian Hospital,[],,101,1001,10001,2,5,2,,,121 Faulks Road Ariaria Aba,,7.341383,5.114561,8035452982,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,9,1,1,1,2,0,0,1,0,0,0,1,2,0,1,0,0,0,0,3,8,Yes,No,Yes,No,No,No,6,5,2026-06-08 11:13:16,2026-06-08 11:13:16,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,2,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Secondary,Private,For Profit,Functional,Registered,Licensed,0
23102145,01/01/1/2/2/0011,AB/01/337,,,,Ivory Specialist Hospital,[],,101,1001,10001,2,5,2,,,1 Power Line By Faulks Road Ariaria Aba,,7.341022,5.113650,8039340236,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,9,1,1,1,1,1,0,0,4,1,1,1,1,1,0,1,0,0,0,5,25,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,2,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Secondary,Private,For Profit,Functional,Registered,Licensed,0
77391675,01/01/1/2/2/0012,AB/01/338,,,,Landmark Hospital,[],,101,1001,10001,2,5,2,,,31 Gasline Street  Off Faulks Road Ariaria,,7.341383,5.114561,8069466866,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,9,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,10,8,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,2,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Secondary,Private,For Profit,Functional,Registered,Licensed,0
79380337,01/01/1/2/2/0013,AB/01/339,3822380,,,Monac Hospital And Maternity,[],,101,1001,10001,2,5,2,,,36 Agbaraevo Street By Omuma Road Aba,,7.341383,5.114561,7035688756,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,9,1,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,20,Yes,No,Yes,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,2,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Secondary,Private,For Profit,Functional,Registered,Licensed,0
75735062,01/01/1/2/2/0014,AB/01/340,,,,New Lead Hospital And Maternity.,[],,101,1001,10001,2,5,2,,,10 Ohiagu By Nwigwe Road  Umule,,7.341383,5.114561,8037102387,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,9,1,1,1,2,1,0,0,2,1,2,0,2,0,0,0,0,0,0,12,19,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,2,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Secondary,Private,For Profit,Functional,Registered,Licensed,0
56767774,01/01/1/1/1/0019,AB/01/345,,,,Powerline Health Post,[],,101,1001,10001,1,1,1,1,,3 Eifans Road  By Powerline  Office,,7.340328,5.115125,8038812963,,,,"Monday, Tuesday, Wednesday, Thursday, Friday",8_Hours,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,1,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Primary,Public,Local Government,Functional,Unknown,Unknown,0
50117647,01/01/1/1/2/0015,AB/01/341,,,,Tina Maternity And Immunization Centre,[],,101,1001,10001,2,5,1,2,,10 Okwukwemdi Street Off LG  Showroom Faulks Road Ariaria Aba,,7.342461,5.114450,8032665315,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,9,1,1,1,0,1,0,0,2,0,2,0,0,0,1,1,0,0,1,6,8,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,1,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Primary,Private,For Profit,Functional,Registered,Licensed,0
19452581,01/01/1/1/1/0017,AB/01/343,,,,Ukwumango Health Post,[],,101,1001,10001,1,1,1,1,,282 Faulks Road Ariaria Aba By St Paul's Anglican Church Aba,,7.329258,5.107698,8064276072,,,,"Monday, Tuesday, Wednesday, Thursday, Friday",12_Hours,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,1,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Primary,Public,Local Government,Functional,Unknown,Unknown,0
12906798,01/01/1/1/1/0018,AB/01/344,,,,Umunneato Primary Health Centre,[],,101,1001,10001,1,1,1,3,,17 Ogbonnaya Road ( ChiefEmenikes Compound)  By  Abayi Ariaria,,7.333008,5.110956,8030902813,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24_Hours,1,10,5,1,1,0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,2,No,No,No,No,No,No,6,5,2026-06-08 11:13:17,2026-06-08 11:13:17,5,2026-06-08 11:13:16,,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-approved via bulk import,5,2026-06-08 11:13:16,Auto-published via bulk import,1,CREATE FACILITY (BULK IMPORT),,,,,,,,Abia,Aba North,Ariaria,Primary,Public,Local Government,Functional,Unknown,Unknown,0
