facility_id,wellapath_name,city_area,hfr_name,phone,email,hfr_facility_code
ng_lag_925,Habibat Memorial Convalescent Home,Agege,Habibat Memorial Convalescent Home,8033047306,HABIBATMEMORIAL@GMAIL.COM,24/01/1/1/2/0002
ng_lag_933,Hamfar Hospital,Agege,Hamfar Hospital,8072694981,THEHAMFARHOSPITAL@GMAIL.COM,24/01/1/2/2/0004
ng_lag_1239,Krisopath Hospital,Agege,Krisopath Hospital,7030370167,KRISOPATH@GMAIL.COM,24/01/1/1/2/0007
ng_lag_1616,Olive Medicare Hospital,Agege,Olive Medicare Hospital,8033447126,OLIVEMEDICAREHOSPITAL@YAHOO.COM,24/01/1/2/2/0006
ng_lag_356,Beta Hospital,Agege,Beta Hospital,9123775261,BETTA.HOSPITAL@CARNAMEDICARE.NG,24/01/1/1/2/0011
ng_lag_2048,St Sabina Hospital,Agege,St. Sabina Hospital,7025514546,SAINTSABINACATHOLICHOSPITAL@GMAIL.COM,24/01/1/2/2/0015
ng_lag_065,Adeoti Group Nursing Home,Agege,Adeoti Group Nursing Home,8023199846,WALEOLAKUUNLE@GMAIL.COM,24/01/1/1/2/0026
ng_lag_1406,Methodist Church Clinic,Agege,Methodist Church Clinic,8056530891,METHODISTCHURCHCLINIC@GMAIL.COM,24/01/1/1/2/0027
ng_lag_1624,Olu Adebo Hospital,Agege,Olu Adebo Hospital,8023154774,OLUADEBOHOSPITAL@YAHOO.COM,24/01/1/2/2/0031
ng_lag_1684,Orile Agege General Hospital,Agege,Orile Agege General Hospital,8023054074,ORILEAGEGEGENERALHOSPITAL@GMAIL.COM,24/01/1/2/1/0035
ng_lag_1819,Rambola Abiola Memorial Hospital,Agege,Rambola Abiola Memorial Hospital,8038195704,BOLAHAM2016@GMAIL.COM,24/01/1/2/2/0033
ng_lag_2158,Tobi Convalescent Home,Agege,Tobi Convalescent Home,8034740169,ODUSOTEANIKE@GMAIL.COM,24/01/1/1/2/0032
ng_lag_376,Biobatam Hospital,Agege,Bio-Batam Hospital,8023332993,BIOBATAMHOSPITALS@GMAIL.COM,24/01/1/1/2/0038
ng_lag_1779,Popoola Abati Hospital,Agege,Popoola Abati Hospital,8033677444,POPOOLAABATI@GMAIL.COM,24/01/1/1/2/0040
ng_lag_2222,Veta Hospital,Agege,Veta Hospital,9079055273,VETAHOSPITALLTD@GMAIL.COM,24/01/1/2/2/0039
ng_lag_1462,Mucas Hospital,Alimosho,Mucas Hospital,8056867574,MUCASHOSPITAL@GMAIL.COM,24/01/1/2/2/0046
ng_lag_1639,Oluwabamise Convalescent Home,Agege,Oluwabamise Convalescent Home,8033579246,OLUWABAMISECONVALESCENTHOME@GMAIL.COM,24/01/1/1/2/0043
ng_lag_1738,Papa Ashafa Health Post,Agege,Papa Ashafa Health Post,8030471727,PAPAASHAFAHEALTHPOST@GMAIL.COM,24/01/1/1/1/0048
ng_lag_1925,Sar Victory Nursing Home,Agege,Sar-Victory Nursing Home,8034256587,SAR-VICTORYCLINICHOME@GMAIL.COM,24/01/1/1/2/0047
ng_lag_642,Dunia Hospital,Agege,Dunia Hospital,8033013282,DUNIACLINIC@YAHOO.COM,24/01/1/2/2/0051
ng_lag_1503,New Merit Hospital,Alimosho,New Merit Hospital,8037360366,MERITMEDICARE@GMAIL.COM,24/01/1/1/2/0052
ng_lag_133,Ajegunle Health Post,Agege,Ajegunle Health Post,7062411832,AJEGUNLEHEALTHPOST@GMAIL.COM,24/01/1/1/1/0055
ng_lag_042,Adebambo Hospital,Ajeromi/Ifelodun,Adebambo Hospital,7030308631,BAMBOHOSP@YAHOO.COM,24/02/1/1/2/0006
ng_lag_1278,Leemsa Nursing Home,Ajeromi/Ifelodun,Leemsa Nursing Home,8033296600,OGUNREMI.AZEEZ@YAHOO.COM,24/02/1/1/2/0008
ng_lag_2281,Abbey Medical Centre,Ajeromi-Ifelodun,Abbey Medical Centre,8023566489,AJIDAGBA2017@GMAIL.COM,24/02/1/1/2/0010
ng_lag_176,Al-Shifau Convalescent Nursing Home,Ajeromi/Ifelodun,Al-Shifau Convalescent Nursing home,8055363625,HASSANISSAADEOLA333@GMAIL.COM,24/02/1/1/2/0015
ng_lag_1501,New Life Hospital,Ibeju/Lekki,New LIfe Hospital,9129207229,SEENEWLIFEHEALTHCARE@YAHOO.COM,24/02/1/1/2/0017
ng_lag_1176,Jehovah Shammah Hospital,Ikorodu,Jehovah Shammah Hospital,8023181957,SHAMMAH_HOSP@YAHOO.COM,24/02/1/1/2/0023
ng_lag_1795,Prince And Princess Hospital,Alimosho,Prince And Princess Hospital,8093932162,PPHOSPITAL@YAHOO.COM,24/02/1/1/2/0024
